Year,Value
195903,0.56
195904,0.26
195905,-0.08
195906,0.18
195907,0.10
195908,0.04
195909,0.12
195910,-0.18
195911,-0.34
195912,-0.02
196001,0.05
196002,0.66
196003,-0.75
196004,-0.23
196005,-0.44
196006,0.14
196007,-0.10
196008,0.02
196009,0.07
196010,0.01
196011,-0.25
196012,0.64
196101,0.30
196102,0.40
196103,0.40
196104,0.18
196105,0.24
196106,0.15
196107,-0.01
196108,0.00
196109,0.02
196110,-0.23
196111,0.05
196112,-0.17
196201,0.35
196202,0.49
196203,0.33
196204,0.19
196205,0.00
196206,-0.15
196207,-0.03
196208,-0.06
196209,0.01
196210,0.16
196211,0.18
196212,0.34
196301,0.16
196302,0.90
196303,0.02
196304,-0.17
196305,-0.19
196306,-0.11
196307,0.17
196308,0.20
196309,0.32
196310,0.60
196311,0.46
196312,0.13
196401,0.11
196402,-0.20
196403,-0.30
196404,-0.36
196405,-0.10
196406,-0.17
196407,-0.16
196408,-0.21
196409,-0.30
196410,-0.49
196411,-0.16
196412,-0.35
196501,0.11
196502,-0.38
196503,-0.09
196504,-0.42
196505,-0.11
196506,-0.07
196507,-0.17
196508,-0.18
196509,-0.16
196510,0.14
196511,-0.25
196512,0.05
196601,-0.16
196602,-0.04
196603,0.11
196604,-0.29
196605,-0.03
196606,0.17
196607,0.15
196608,0.08
196609,0.08
196610,-0.15
196611,-0.17
196612,-0.48
196701,-0.22
196702,-0.39
196703,0.08
196704,0.13
196705,0.33
196706,-0.21
196707,-0.12
196708,-0.12
196709,-0.10
196710,0.52
196711,0.09
196712,0.11
196801,-0.35
196802,-0.06
196803,0.86
196804,-0.03
196805,-0.22
196806,-0.23
196807,-0.16
196808,-0.18
196809,-0.22
196810,-0.11
196811,-0.20
196812,-0.48
196901,-1.04
196902,-0.88
196903,-0.05
196904,0.11
196905,0.04
196906,-0.03
196907,0.11
196908,0.00
196909,-0.07
196910,-0.03
196911,0.41
196912,0.48
197001,0.08
197002,0.57
197003,-0.12
197004,0.22
197005,0.01
197006,0.14
197007,0.09
197008,-0.02
197009,0.03
197010,-0.21
197011,-0.01
197012,-0.22
197101,0.12
197102,-0.37
197103,-0.14
197104,-0.15
197105,-0.09
197106,-0.17
197107,-0.07
197108,-0.04
197109,0.11
197110,-0.03
197111,0.38
197112,0.16
197201,-0.89
197202,-0.77
197203,0.02
197204,0.03
197205,-0.05
197206,0.08
197207,-0.06
197208,0.05
197209,-0.21
197210,-0.06
197211,-0.22
197212,0.16
197301,0.29
197302,0.82
197303,0.80
197304,0.52
197305,0.36
197306,0.48
197307,0.23
197308,0.15
197309,0.06
197310,0.09
197311,0.02
197312,0.29
197401,-0.62
197402,-0.64
197403,0.09
197404,0.10
197405,-0.05
197406,-0.08
197407,0.05
197408,-0.05
197409,-0.17
197410,-0.29
197411,-0.22
197412,-0.31
197501,0.39
197502,0.14
197503,0.43
197504,0.30
197505,0.23
197506,0.20
197507,0.09
197508,-0.09
197509,0.22
197510,-0.12
197511,-0.17
197512,0.08
197601,0.27
197602,-0.21
197603,-0.66
197604,0.10
197605,-0.16
197606,-0.22
197607,-0.23
197608,-0.21
197609,-0.05
197610,-0.83
197611,-0.43
197612,-0.14
197701,-0.48
197702,0.32
197703,0.67
197704,0.59
197705,0.43
197706,0.46
197707,0.21
197708,0.10
197709,0.17
197710,-0.04
197711,0.57
197712,0.08
197801,0.17
197802,0.21
197803,0.48
197804,0.30
197805,0.04
197806,-0.09
197807,-0.03
197808,-0.23
197809,0.01
197810,0.07
197811,0.33
197812,0.05
197901,-0.06
197902,-0.17
197903,0.29
197904,-0.19
197905,0.10
197906,0.13
197907,0.10
197908,0.17
197909,0.20
197910,0.35
197911,0.25
197912,0.97
198001,0.20
198002,0.44
198003,0.03
198004,0.44
198005,0.49
198006,0.26
198007,0.22
198008,0.24
198009,0.20
198010,0.25
198011,0.64
198012,0.39
198101,1.19
198102,0.90
198103,0.96
198104,0.69
198105,0.32
198106,0.28
198107,0.21
198108,0.38
198109,0.14
198110,0.05
198111,0.29
198112,0.90
198201,-0.13
198202,0.17
198203,-0.14
198204,0.33
198205,0.14
198206,-0.02
198207,0.19
198208,0.12
198209,0.23
198210,-0.06
198211,-0.17
198212,0.72
198301,0.89
198302,0.86
198303,0.62
198304,0.24
